t,x,y,psi,u,v,r
1.270000,0.000000000e+00,4.131237164e-02,0.000000000e+00,0.000000000e+00,5.393762836e-02,0.000000000e+00
1.280000,0.000000000e+00,4.185279754e-02,0.000000000e+00,0.000000000e+00,5.414720246e-02,0.000000000e+00
1.290000,0.000000000e+00,4.239530873e-02,0.000000000e+00,0.000000000e+00,5.435469127e-02,0.000000000e+00
1.300000,0.000000000e+00,4.293988448e-02,0.000000000e+00,0.000000000e+00,5.456011552e-02,0.000000000e+00
1.310000,0.000000000e+00,4.348650423e-02,0.000000000e+00,0.000000000e+00,5.476349577e-02,0.000000000e+00
1.320000,0.000000000e+00,4.403514765e-02,0.000000000e+00,0.000000000e+00,5.496485235e-02,0.000000000e+00
1.330000,0.000000000e+00,4.458579460e-02,0.000000000e+00,0.000000000e+00,5.516420540e-02,0.000000000e+00
1.340000,0.000000000e+00,4.513842515e-02,0.000000000e+00,0.000000000e+00,5.536157485e-02,0.000000000e+00
1.350000,0.000000000e+00,4.569301955e-02,0.000000000e+00,0.000000000e+00,5.555698045e-02,0.000000000e+00
1.360000,0.000000000e+00,4.624955827e-02,0.000000000e+00,0.000000000e+00,5.575044173e-02,0.000000000e+00
1.370000,0.000000000e+00,4.680802197e-02,0.000000000e+00,0.000000000e+00,5.594197803e-02,0.000000000e+00
1.380000,0.000000000e+00,4.736839148e-02,0.000000000e+00,0.000000000e+00,5.613160852e-02,0.000000000e+00
1.390000,0.000000000e+00,4.793064785e-02,0.000000000e+00,0.000000000e+00,5.631935215e-02,0.000000000e+00
1.400000,0.000000000e+00,4.849477230e-02,0.000000000e+00,0.000000000e+00,5.650522770e-02,0.000000000e+00
1.410000,0.000000000e+00,4.906074624e-02,0.000000000e+00,0.000000000e+00,5.668925376e-02,0.000000000e+00
1.420000,0.000000000e+00,4.962855127e-02,0.000000000e+00,0.000000000e+00,5.687144873e-02,0.000000000e+00
1.430000,0.000000000e+00,5.019816917e-02,0.000000000e+00,0.000000000e+00,5.705183083e-02,0.000000000e+00
1.440000,0.000000000e+00,5.076958190e-02,0.000000000e+00,0.000000000e+00,5.723041810e-02,0.000000000e+00
1.450000,0.000000000e+00,5.134277161e-02,0.000000000e+00,0.000000000e+00,5.740722839e-02,0.000000000e+00
1.460000,0.000000000e+00,5.191772061e-02,0.000000000e+00,0.000000000e+00,5.758227939e-02,0.000000000e+00
1.470000,0.000000000e+00,5.249441139e-02,0.000000000e+00,0.000000000e+00,5.775558861e-02,0.000000000e+00
1.480000,0.000000000e+00,5.307282663e-02,0.000000000e+00,0.000000000e+00,5.792717337e-02,0.000000000e+00
1.490000,0.000000000e+00,5.365294917e-02,0.000000000e+00,0.000000000e+00,5.809705083e-02,0.000000000e+00
1.500000,0.000000000e+00,5.423476201e-02,0.000000000e+00,0.000000000e+00,5.826523799e-02,0.000000000e+00
1.510000,0.000000000e+00,5.481824835e-02,0.000000000e+00,0.000000000e+00,5.843175165e-02,0.000000000e+00
1.520000,0.000000000e+00,5.540339152e-02,0.000000000e+00,0.000000000e+00,5.859660848e-02,0.000000000e+00
1.530000,0.000000000e+00,5.599017505e-02,0.000000000e+00,0.000000000e+00,5.875982495e-02,0.000000000e+00
1.540000,0.000000000e+00,5.657858261e-02,0.000000000e+00,0.000000000e+00,5.892141739e-02,0.000000000e+00
1.550000,0.000000000e+00,5.716859804e-02,0.000000000e+00,0.000000000e+00,5.908140196e-02,0.000000000e+00
1.560000,0.000000000e+00,5.776020534e-02,0.000000000e+00,0.000000000e+00,5.923979466e-02,0.000000000e+00
1.570000,0.000000000e+00,5.835338868e-02,0.000000000e+00,0.000000000e+00,5.939661132e-02,0.000000000e+00
1.580000,0.000000000e+00,5.894813237e-02,0.000000000e+00,0.000000000e+00,5.955186763e-02,0.000000000e+00
1.590000,0.000000000e+00,5.954442088e-02,0.000000000e+00,0.000000000e+00,5.970557912e-02,0.000000000e+00
1.600000,0.000000000e+00,6.014223885e-02,0.000000000e+00,0.000000000e+00,5.985776115e-02,0.000000000e+00
1.610000,0.000000000e+00,6.074157106e-02,0.000000000e+00,0.000000000e+00,6.000842894e-02,0.000000000e+00
1.620000,0.000000000e+00,6.134240243e-02,0.000000000e+00,0.000000000e+00,6.015759757e-02,0.000000000e+00
1.630000,0.000000000e+00,6.194471806e-02,0.000000000e+00,0.000000000e+00,6.030528194e-02,0.000000000e+00
1.640000,0.000000000e+00,6.254850317e-02,0.000000000e+00,0.000000000e+00,6.045149683e-02,0.000000000e+00
1.650000,0.000000000e+00,6.315374315e-02,0.000000000e+00,0.000000000e+00,6.059625685e-02,0.000000000e+00
1.660000,0.000000000e+00,6.376042351e-02,0.000000000e+00,0.000000000e+00,6.073957649e-02,0.000000000e+00
1.670000,0.000000000e+00,6.436852992e-02,0.000000000e+00,0.000000000e+00,6.088147008e-02,0.000000000e+00
1.680000,0.000000000e+00,6.497804820e-02,0.000000000e+00,0.000000000e+00,6.102195180e-02,0.000000000e+00
1.690000,0.000000000e+00,6.558896430e-02,0.000000000e+00,0.000000000e+00,6.116103570e-02,0.000000000e+00
1.700000,0.000000000e+00,6.620126431e-02,0.000000000e+00,0.000000000e+00,6.129873569e-02,0.000000000e+00
1.710000,0.000000000e+00,6.681493445e-02,0.000000000e+00,0.000000000e+00,6.143506555e-02,0.000000000e+00
1.720000,0.000000000e+00,6.742996110e-02,0.000000000e+00,0.000000000e+00,6.157003890e-02,0.000000000e+00
1.730000,0.000000000e+00,6.804633075e-02,0.000000000e+00,0.000000000e+00,6.170366925e-02,0.000000000e+00
1.740000,0.000000000e+00,6.866403005e-02,0.000000000e+00,0.000000000e+00,6.183596995e-02,0.000000000e+00
1.750000,0.000000000e+00,6.928304576e-02,0.000000000e+00,0.000000000e+00,6.196695424e-02,0.000000000e+00
1.760000,0.000000000e+00,6.990336479e-02,0.000000000e+00,0.000000000e+00,6.209663521e-02,0.000000000e+00
1.770000,0.000000000e+00,7.052497416e-02,0.000000000e+00,0.000000000e+00,6.222502584e-02,0.000000000e+00
1.780000,0.000000000e+00,7.114786105e-02,0.000000000e+00,0.000000000e+00,6.235213895e-02,0.000000000e+00
1.790000,0.000000000e+00,7.177201273e-02,0.000000000e+00,0.000000000e+00,6.247798727e-02,0.000000000e+00
1.800000,0.000000000e+00,7.239741662e-02,0.000000000e+00,0.000000000e+00,6.260258338e-02,0.000000000e+00
1.810000,0.000000000e+00,7.302406026e-02,0.000000000e+00,0.000000000e+00,6.272593974e-02,0.000000000e+00
1.820000,0.000000000e+00,7.365193132e-02,0.000000000e+00,0.000000000e+00,6.284806868e-02,0.000000000e+00
1.830000,0.000000000e+00,7.428101758e-02,0.000000000e+00,0.000000000e+00,6.296898242e-02,0.000000000e+00
1.840000,0.000000000e+00,7.491130696e-02,0.000000000e+00,0.000000000e+00,6.308869304e-02,0.000000000e+00
1.850000,0.000000000e+00,7.554278748e-02,0.000000000e+00,0.000000000e+00,6.320721252e-02,0.000000000e+00
1.860000,0.000000000e+00,7.617544728e-02,0.000000000e+00,0.000000000e+00,6.332455272e-02,0.000000000e+00
1.870000,0.000000000e+00,7.680927464e-02,0.000000000e+00,0.000000000e+00,6.344072536e-02,0.000000000e+00
1.880000,0.000000000e+00,7.744425793e-02,0.000000000e+00,0.000000000e+00,6.355574207e-02,0.000000000e+00
1.890000,0.000000000e+00,7.808038566e-02,0.000000000e+00,0.000000000e+00,6.366961434e-02,0.000000000e+00
1.900000,0.000000000e+00,7.871764644e-02,0.000000000e+00,0.000000000e+00,6.378235356e-02,0.000000000e+00
1.910000,0.000000000e+00,7.935602900e-02,0.000000000e+00,0.000000000e+00,6.389397100e-02,0.000000000e+00
1.920000,0.000000000e+00,7.999552216e-02,0.000000000e+00,0.000000000e+00,6.400447784e-02,0.000000000e+00
1.930000,0.000000000e+00,8.063611489e-02,0.000000000e+00,0.000000000e+00,6.411388511e-02,0.000000000e+00
1.940000,0.000000000e+00,8.127779624e-02,0.000000000e+00,0.000000000e+00,6.422220376e-02,0.000000000e+00
1.950000,0.000000000e+00,8.192055537e-02,0.000000000e+00,0.000000000e+00,6.432944463e-02,0.000000000e+00
1.960000,0.000000000e+00,8.256438157e-02,0.000000000e+00,0.000000000e+00,6.443561843e-02,0.000000000e+00
1.970000,0.000000000e+00,8.320926422e-02,0.000000000e+00,0.000000000e+00,6.454073578e-02,0.000000000e+00
1.980000,0.000000000e+00,8.385519280e-02,0.000000000e+00,0.000000000e+00,6.464480720e-02,0.000000000e+00
1.990000,0.000000000e+00,8.450215691e-02,0.000000000e+00,0.000000000e+00,6.474784309e-02,0.000000000e+00
2.000000,0.000000000e+00,8.515014624e-02,0.000000000e+00,0.000000000e+00,6.484985376e-02,0.000000000e+00
2.010000,0.000000000e+00,8.579915060e-02,0.000000000e+00,0.000000000e+00,6.495084940e-02,0.000000000e+00
2.020000,0.000000000e+00,8.644915988e-02,0.000000000e+00,0.000000000e+00,6.505084012e-02,0.000000000e+00
2.030000,0.000000000e+00,8.710016409e-02,0.000000000e+00,0.000000000e+00,6.514983591e-02,0.000000000e+00
2.040000,0.000000000e+00,8.775215332e-02,0.000000000e+00,0.000000000e+00,6.524784668e-02,0.000000000e+00
2.050000,0.000000000e+00,8.840511777e-02,0.000000000e+00,0.000000000e+00,6.534488223e-02,0.000000000e+00
2.060000,0.000000000e+00,8.905904774e-02,0.000000000e+00,0.000000000e+00,6.544095226e-02,0.000000000e+00
