t,x,y,psi,u,v,r
1.900000,1.513200549e+00,0.000000000e+00,0.000000000e+00,1.257324891e+00,0.000000000e+00,0.000000000e+00
1.910000,1.525786538e+00,0.000000000e+00,0.000000000e+00,1.259869218e+00,0.000000000e+00,0.000000000e+00
1.920000,1.538397859e+00,0.000000000e+00,0.000000000e+00,1.262391220e+00,0.000000000e+00,0.000000000e+00
1.930000,1.551034289e+00,0.000000000e+00,0.000000000e+00,1.264891093e+00,0.000000000e+00,0.000000000e+00
1.940000,1.563695607e+00,0.000000000e+00,0.000000000e+00,1.267369032e+00,0.000000000e+00,0.000000000e+00
1.950000,1.576381597e+00,0.000000000e+00,0.000000000e+00,1.269825228e+00,0.000000000e+00,0.000000000e+00
1.960000,1.589092040e+00,0.000000000e+00,0.000000000e+00,1.272259874e+00,0.000000000e+00,0.000000000e+00
1.970000,1.601826723e+00,0.000000000e+00,0.000000000e+00,1.274673157e+00,0.000000000e+00,0.000000000e+00
1.980000,1.614585433e+00,0.000000000e+00,0.000000000e+00,1.277065265e+00,0.000000000e+00,0.000000000e+00
1.990000,1.627367958e+00,0.000000000e+00,0.000000000e+00,1.279436384e+00,0.000000000e+00,0.000000000e+00
2.000000,1.640174091e+00,0.000000000e+00,0.000000000e+00,1.281786698e+00,0.000000000e+00,0.000000000e+00
2.010000,1.653003624e+00,0.000000000e+00,0.000000000e+00,1.284116390e+00,0.000000000e+00,0.000000000e+00
2.020000,1.665856351e+00,0.000000000e+00,0.000000000e+00,1.286425640e+00,0.000000000e+00,0.000000000e+00
2.030000,1.678732069e+00,0.000000000e+00,0.000000000e+00,1.288714629e+00,0.000000000e+00,0.000000000e+00
2.040000,1.691630576e+00,0.000000000e+00,0.000000000e+00,1.290983533e+00,0.000000000e+00,0.000000000e+00
2.050000,1.704551673e+00,0.000000000e+00,0.000000000e+00,1.293232529e+00,0.000000000e+00,0.000000000e+00
2.060000,1.717495161e+00,0.000000000e+00,0.000000000e+00,1.295461792e+00,0.000000000e+00,0.000000000e+00
2.070000,1.730460844e+00,0.000000000e+00,0.000000000e+00,1.297671495e+00,0.000000000e+00,0.000000000e+00
2.080000,1.743448526e+00,0.000000000e+00,0.000000000e+00,1.299861809e+00,0.000000000e+00,0.000000000e+00
2.090000,1.756458016e+00,0.000000000e+00,0.000000000e+00,1.302032905e+00,0.000000000e+00,0.000000000e+00
2.100000,1.769489121e+00,0.000000000e+00,0.000000000e+00,1.304184951e+00,0.000000000e+00,0.000000000e+00
2.110000,1.782541652e+00,0.000000000e+00,0.000000000e+00,1.306318114e+00,0.000000000e+00,0.000000000e+00
2.120000,1.795615421e+00,0.000000000e+00,0.000000000e+00,1.308432560e+00,0.000000000e+00,0.000000000e+00
2.130000,1.808710241e+00,0.000000000e+00,0.000000000e+00,1.310528454e+00,0.000000000e+00,0.000000000e+00
2.140000,1.821825929e+00,0.000000000e+00,0.000000000e+00,1.312605958e+00,0.000000000e+00,0.000000000e+00
